product_code,type,brands,lens_width,location,stock,cost_price,sale_price_s,sale_price_a,mrp,comments
AO 1.6 CRHMC,SPECTACLE GLASS,AO,,,256.0,,540.0,,540.0,
HC,SPECTACLE GLASS,,,,1013.0,,,,,
ARC,SPECTACLE GLASS,,,,192.0,,,,,
PG,SPECTACLE GLASS,,,,43.0,,,,,
Blue cut PG,SPECTACLE GLASS,,,,18.0,,,,,
CRKT,SPECTACLE GLASS,,,,134.0,,,,,
CRKT ARC,SPECTACLE GLASS,,,,3.0,,,,,
Bluecut CRKT,SPECTACLE GLASS,,,,7.0,,,,,
Blue ray Progressive,SPECTACLE GLASS,,,,0.0,,,,,
BLUECUT HMC,SPECTACLE GLASS,,,,183.0,,,,,
ZEISS BC,,,,,2.0,,,,,
PG 6 LINE,SPECTACLE GLASS,,,,108.0,,,,,
GLASS,SPECTACLE GLASS,,,,79.0,,,,,
PGARC,SPECTACLE GLASS,,,,2.0,,,,,
WHITE KT,SPECTACLE GLASS,,,,77.0,,,,,
Blue Cut PGKT,,,,,5.0,,,,,
PGKT 6LINE,SPECTACLE GLASS,,,,7.0,,,,,
PG PROGRESSIVE,,,,,10.0,,,,,
SUPEROL,SPECTACLE GLASS,,,,5.0,,,,,
CRIZAL UV,SPECTACLE GLASS,,,,14.0,,,,,
Crizal SV,,,,,6.0,,,,,
Crizal SV KT,,,,,0.0,,,,,
color CLS,,,,,0.0,,,,,
Elements FSV Bluecut,SPECTACLE GLASS,ESSILOR,,,12.0,,600.0,,600.0,
TRIO,SPECTACLE GLASS,ESSILOR,,,0.0,,520.0,,520.0,
KROMOS,SPECTACLE GLASS,,,,10.0,,,,,
Bandage lens,,,,,10.0,,,,,
LENS SHINE,,,,,314.0,,,,,
CONTACT LENS PCS,CONTACT LENS,,,,12.0,,,,,
color contact lens,CONTACT LENS,,,,3.0,,,,,
PROGRESSIVE,SPECTACLE GLASS,,,,14.0,,,,,
COATED GLASS,SPECTACLE GLASS,,,,11.0,,,,,
AZEETA SHEET,RECTANGLE FULL SHEET FRAME,AZEETA,,L6D4-7,7.0,,900.0,,900.0,
AB1084_C2_53,RECTANGLE SUPRA METAL FRAME,AGNES,53.0,T26S2-1,1.0,,3480.0,,3480.0,
AB1087_C3_53,RECTANGLE FULL METAL FRAME,AGNES,53.0,T26S2-1,1.0,,3250.0,,3250.0,
AB1087_C4_53,RECTANGLE FULL METAL FRAME,AGNES,53.0,T26S1-1,1.0,,3250.0,,3250.0,
AB1090_C1_53,CATEYE SUPRA METAL FRAME,AGNES,53.0,T75S2-1,1.0,,3725.0,,3725.0,
AB1090_C2_53,CATEYE SUPRA METAL FRAME,AGNES,53.0,T75S3-1,1.0,,3725.0,,3725.0,
AB1090_C3_53,CATEYE SUPRA METAL FRAME,AGNES,53.0,NA,0.0,,3725.0,,3725.0,
AB1090_C4_53,RECATNGLE SUPRA METAL FRAME,AGNES,53.0,T75S3-1,1.0,,3725.0,,3725.0,
AB1094_C3_53,CATEYE FULL METAL FRAME,AGNES,53.0,NA,0.0,,3990.0,,3990.0,
AG1098_C4_49,CATEYE FULL SHEET FRAME,AGNES,49.0,T15S2-1,1.0,,3990.0,,3990.0,
AB1098_C5_49,CATEYE FULL SHEET FRAME,AGNES,49.0,D11-1,1.0,,1600.0,,1600.0,
AB1098_C6_49,CATEYE FULL SHEET FRAME,AGNES,49.0,T76S2-1,1.0,,1600.0,,1600.0,
AB1100_C3_53,RECTANGLE FULL METAL FRAME,AGNES,53.0,T26S1-1,1.0,,2750.0,,2750.0,
AB1102_C3_52,RECTANGLE FULL SHEET FRAME,AGNES,53.0,T76S3-1,1.0,,2980.0,,2980.0,
AB1103_C3_52,CATEYE SUPRA METAL FRAME,AGNES,52.0,D11-1,1.0,,3980.0,,3980.0,
AB1104_C3_54,SUNGLASS,AGNES,54.0,T30S2-1,1.0,,,,,
AB1104_C4_54,SUNGLASS,AGNES,54.0,T30S2-1,1.0,,,,,
AB1108_C4_52,RECTANGLE FULL SHEET FRAME,AGNES,52.0,C7-1,1.0,,3480.0,,3480.0,
AB1108_C5_52,RECTANGLE FULL SHEET FRAME,AGNES,52.0,T31S1-1,1.0,,3480.0,,3480.0,
AB1110_C2_53,RECTANGLE FULL SHEET FRAME,AGNES,,T15S1-1,1.0,,,,,
AB1110_C2_53,RECTANGLE FULL SHEET FRAME,AGNES,53.0,C7-1,1.0,,4490.0,,4490.0,
AB1115_C1_52,CATEYE FULL METAL FRAME,C,52.0,"C7-1,T15S2-1",2.0,,4225.0,,4225.0,
AB1115_C2_52,CATEYE FULL METAL FRAME,AGNES,52.0,C7-1,1.0,,4225.0,,4225.0,
AB1115_C3_52,CATEYE FULL METAL FRAME,AGNES,52.0,C7-1,,,4225.0,,4225.0,
AB1115_C5_52,CATEYE FULL METAL FRAME,AGNES,52.0,C7-1,1.0,,4225.0,,4225.0,
AB1117_C3_53,CATEYE FULL METAL FRAME,AGNES,53.0,T15S3-1,1.0,,3725.0,,3725.0,
AB1117_C5_53,CATEYE FULL METAL FRAME,AGNES,53.0,T75S1-1,1.0,,3725.0,,3725.0,
AB1118_C1_52,SUNGLASS,AGNES,52.0,T40S1-1,1.0,,,,,
AB1118_C2_52,SUNGLASS,AGNES,52.0,T40S1-1,1.0,,,,,
AB1119_C2_55,CATEYE FULL SHEET FRAME,AGNES,55.0,C7-1,1.0,,4480.0,,4480.0,
AB1120_C1_50,CATEYE FULL SHEET FRAME,AGNES,50.0,T31S1-1,1.0,,3750.0,,3750.0,
AB1121_C2_52,CATEYE FULL METAL FRAME,AGNES,52.0,T26S3-1,1.0,,3990.0,,3990.0,
AB1123_C2_55,SUNGLASS,AGNES,55.0,T30S2-1,1.0,,,,,
AB1124_C1_56,SUNGLASS,AGNES,56.0,T40S2-1,1.0,,,,,
AB1124_C4_56,SUNGLASS,AGNES,56.0,T40S2-1,1.0,,,,,
AB1125_C5_52,SUNGLASS,AGNES,52.0,T30S1-1,1.0,,,,,
AB1127_C3_53,CATEYE SUPRA METAL FRAME,AGNES,53.0,T26S3-1,1.0,,3750.0,,3750.0,
AB1128_C2_53,RECATNGLE SUPRA METAL FRAME,AGNES,53.0,T26S2-1,1.0,,3750.0,,3750.0,
AB1128_C5_53,,AGNIS,53.0,T15S3-1,1.0,,3750.0,,3750.0,
AB1129_C3_54,CATEYE FULL METAL FRAME,AGNES,54.0,T75S1-1,1.0,,3980.0,,3980.0,
AB1129_C4_54,CATEYE FULL METAL FRAME,AGNES,54.0,C7-1,1.0,,3980.0,,3980.0,
AB1130_C1_53,RECATNGLE SUPRA METAL FRAME,AGNES,53.0,T75S3-1,1.0,,3750.0,,3750.0,
AB1131_C5_52,CATEYE FULL METAL FRAME,AGNES,52.0,C7-1,1.0,,3490.0,,3490.0,
AB1132_C2_51,CATEYE SUPRA METAL FRAME,AGNES,51.0,T75S2-1,1.0,,3980.0,,3980.0,
AB1136_C2_60,SUNGLASS,AGNES,60.0,T40S3-1,1.0,,,,,
AB1136S_C4_60,SUNGLASS,AGNES,60.0,C7-1,1.0,,3990.0,,3990.0,
AB1137_C3_59,SUNGLASS,AGNES,59.0,T40S3-1,1.0,,,,,
AB1137_C5_59,SUNGLASS,AGNES,59.0,T40S3-1,1.0,,,,,
AB1138_C1_53,CATEYE FULL SHEET FRAME,AGNES,53.0,C7-2,2.0,,4225.0,,4225.0,FRAME
AB1138_C4_53,CATEYE FULL SHEET FRAME,AGNES,53.0,T76S3-1,1.0,,4225.0,,4225.0,
AB1142_C5_50,FRAME,AGNES,50.0,T15S2-1,1.0,,3750.0,,3750.0,
AB1144_C4_52,SUNGLASS,AGNES,52.0,T30S1-1,1.0,,,,,
AB1152_C2_52,CATEYE FULL SHEET FRAME,AGNES,52.0,T15S3-1,1.0,,3990.0,,3990.0,
AB1152_C3_52,CATEYE FULL SHEET FRAME,AGNES,52.0,T75S1-1,1.0,,3990.0,,3990.0,
AB1158_C1_52,RECTANGLE FULL SHEET FRAME,AGNES,52.0,T15S2-1,1.0,,2480.0,,2480.0,
AB1158_C2_52,RECTANGLE FULL SHEET FRAME,AGNES,52.0,T76S1-1,1.0,,2480.0,,2480.0,
AB1159_C3_50,CATEYE FULL SHEET FRAME,AGNES,50.0,C7-1,1.0,,2480.0,,2480.0,
AB1162_C1_51,CATEYE FULL SHEET FRAME,AGNES,51.0,T31S3-1,1.0,,4225.0,,4225.0,
AB1162_C3_51,,AGNES,51.0,T76S2-1,1.0,,,,,
AB1163_C2_52,ROUND FULL METAL FRAME,AGNES,52.0,T75S2-1,1.0,,4725.0,,4725.0,
AB1163_C4_52,ROUND FULL METAL FRAME,AGNES,52.0,T26S1-1,1.0,,4725.0,,4725.0,
AB1164_C1_52,SUNGLASS,AGNES,52.0,T40S2-1,1.0,,,,,
AB1164_C2_52,SUNGLASS,AGNES,52.0,T40S2-1,1.0,,,,,
AB1167_C3_53,FRAME,AGNES,53.0,T26S1-1,1.0,,,,,FRAME
AB1168_C4_54,FRAME,AGNES,54.0,D11-1,1.0,,,,,FRAME
AB1171_C3_61,,AGNES,61.0,T30S1-1,1.0,,,,,
AB1172S_C2_58,SUNGLASS,AGNES,58.0,D12-1,1.0,,3480.0,,3480.0,
AB2067_C176_50,CATEYE FULL SHEET FRAME,AGNES,50.0,T31S2-1,1.0,,1250.0,,1250.0,
AB2038_C578_50,CATEYE FULL SHEET FRAME,AGNES,50.0,C7-2,2.0,,1400.0,,1400.0,
AB2040_C317_53,CATEYE FULL SHEET FRAME,AGNES,53.0,T31S3-1,1.0,,1500.0,,1500.0,
AB2040_C510_51,CATEYE FULL SHEET FRAME,AGNES,51.0,C7-1,1.0,,1500.0,,1500.0,
AB2092_C455_53,CATEYE FULL SHEET FRAME,AGNES,53.0,C7-1,1.0,,1500.0,,1500.0,FRAME
AB2092_C581_51,CATEYE FULL SHEET FRAME,AGNES,51.0,T31S1-1,1.0,,1500.0,,1500.0,FRAME
AB2092_C693_53,CATEYE FULL SHEET FRAME,AGNES,53.0,C7-1,1.0,,1500.0,,1500.0,
AB2093_C484_53,RECTANGLE FULL SHEET FRAME,AGNES,53.0,T76S1-1,1.0,,1500.0,,1500.0,
AB2108_C540_51,CATEYE FULL SHEET FRAME,AGNES,51.0,C7-1,1.0,,1700.0,,1700.0,
AB2108_C541_53,CATEYE FULL SHEET FRAME,AGNES,53.0,C7-1,1.0,,1700.0,,1700.0,
AB2108_C539_53,CATEYE FULL SHEET FRAME,AGNES,53.0,C7-1,1.0,,1700.0,,1700.0,
AB4012_DEMISLV_53,CATEYE FULL SHEET FRAME,AGNES,53.0,C7-1,1.0,,2750.0,,2750.0,
AB4017_DEMI_52,CATEYE FULL SHEET FRAME,AGNES,52.0,"C7-1,T76S3-1",2.0,,2750.0,,2750.0,
AB4017_DEMIRED_52,CATEYE FULL METAL FRAME,AGNES,52.0,C7-1,1.0,,,,,
AB4017_BLK_52,CATEYE FULL METAL FRAME,AGNES,52.0,T31S3-1,1.0,,,,,
AB4018_BLACK_52,CATEYE FULL METAL FRAME,AGNES,52.0,T15S1-1,1.0,,2750.0,,2750.0,
AG1109_C4_51,CATEYE FULL SHEET FRAME,AGNES,51.0,T31S3-1,1.0,,3990.0,,3990.0,
AG1147_C5_51,CATEYE FULL SHEET FRAME,AGNES,51.0,T76S3-1,1.0,,3990.0,,3990.0,
AG1086_C2_54,CATEYE FULL METAL FRAME,AGNES,54.0,T75S2-1,1.0,,3490.0,,3490.0,
AG1093_C2_53,FRAME,AGNES,53.0,T15S3-1,1.0,,3490.0,,3490.0,
AG1107_C4_50,ROUND FULL SHEET FRAME,AGNES,50.0,T76S2-1,1.0,,4235.0,,4235.0,
AG1140_C1_52,CATEYE FULL SHEET FRAME,AGNES,52.0,C7-1,1.0,,4725.0,,4725.0,
AB1140_C3_52,CATEYE FULL SHEET FRAME,AGNES,52.0,T75S3-1,1.0,,4725.0,,4725.0,FRAME
AB1149_C2_54,CATEYE SUPRA METAL FRAME,AGNES,54.0,T26S2-1,1.0,,2725.0,,2725.0,
AG1151_C4_50,RECTANGLE FULL SHEET FRAME,AGNES,50.0,T31S2-1,1.0,,5225.0,,5225.0,
AG1169_C2_53,FRAME,AGNES,53.0,T76S2-1,1.0,,,,,FRAME
AB1169_C3_53,FRAME,AGNES,53.0,C7-1,1.0,,,,,FRAME
AB1169_C4_53,FRAME,AGNES,53.0,C7-1,1.0,,,,,FRAME
AB1175S_C3_53,SUNGLASS,AGNES,53.0,T30S2-1,1.0,,4390/3725,,4390/3725,
AG2103_C526_52,CATEYE FULL SHEET FRAME,AGNES,52.0,T31S2-1,1.0,,1990.0,,1990.0,FRAME
AG2054_C228_53,CATEYE FULL SHEET FRAME,AGNES,53.0,T15S1-1,1.0,,1425.0,,1425.0,
AG2058_C1_53,FRAME,AGNES,53.0,NA,0.0,,1500.0,,1500.0,FRAME
AG2058_C559_53,FRAME,AGNES,53.0,T76S1-1,1.0,,1500.0,,1500.0,FRAME
AG2058_C243_53,FRAME,AGNES,53.0,T76S1-1,1.0,,1500.0,,1500.0,
AG2058_C614_53,FRAME,AGNES,53.0,T31S2-1,1.0,,1500.0,,1500.0,
AB16T150_C2_51,RCTANGLE FULL SHEET FRAME,AGNES,51.0,T15S1-1,1.0,,1600.0,,1600.0,
AB16T150_C3_51,RECTANGLE FULL SHEET FRAME,AGNES,51.0,T31S1-1,1.0,,1800.0,,1800.0,
BE4193_300213_57,CATEYE SUNGLASS,Burberry,57.0,T43S1-1,1.0,,15000.0,,15000.0,
BE4201_300273_58,RECTANGLE SUNGLASS,Burberry,58.0,T43S1-1,1.0,,13000.0,,13000.0,
BE20030_C01_M,SUNGLASS,Burberry,M,T82S1-1,1.0,,17090.0,,17090.0,
BIOTRUE SOLUTION 60 ml+SILK LENS SOLUTION,,,,60ml,0.0,,,,,
BIOTRUE SOLUTION 120 ml,LENS SOLUTION,Biotrue,,DISPLAY,2.0,,300.0,,300.0,
BIOTRUE 300 ML,LENS SOLUTION,Biotrue,,NA,0.0,,560.0,,560.0,
RENU_LENSSOLUTION_120,LENS SOLUTION,RENU,120.0,1.0,0.0,,,,,
RENU SOLUTION 300ML,LENS SOLUTION,RENU,,NA,0.0,,,,,
RENU_LENSSOLUTION_60,LENS SOLUTION,RENU,60.0,NA,0.0,,,,,
BIOFLEX OCCLUSION EYE PATCH (REGULAR),EYE PATCH,Eye Cover,,4 BOX,4.0,,,,,
BIOFLEX OCCLUSION EYE WIPES,EYE WIPE,,,2 BOX,2.0,,,,,
BRATS & DOLLS,RECTANGLE BABY FRAME,baby Frames,,"DS3-1,R-1,L6D1S1-1,S2-1",3.0,,1000.0,,1000.0,
BV2162B_376_53,RECTANGLE FRAME,Bvlgari,53.0,T73S2-1,1.0,,24990.0,,24990.0,
CK1089_028_58,SUNGLASS,Calvin Klein,58.0,"C1R1B3-1,T2S3-1",2.0,,,,,
CK3154_214_62,SUNGLASS,Calvin Klein,62.0,"T2S3-1,C1R1B2-2",3.0,,,,,
CK3161S_003_58,SUNGLASS,Calvin Klein,58.0,T2S2-1,1.0,,9000.0,,9000.0,
CK3161S_004_58,SUNGLASS,Calvin Klein,58.0,T2S3-1,1.0,,,,,
CK3152S_001_57,SUNGLASS,Calvin Klein,57.0,"T52S1-1,D12-1",2.0,,,,,
CK4216_320_56,SUNGLASS,Calvin Klein,56.0,T2S1-1,1.0,,,,,
CK4151_001_56,SUNGLASS,Calvin Klein,56.0,"C1R1B3-1,T2S2-1",2.0,,,,,
CK4223_001_52,SUNGLASS,Calvin Klein,52.0,"C1R1B3-1,T2S2-1",2.0,,,,,
CK4223_377_52,SUNGLASS,Calvin Klein,52.0,"C1R1B3-1,T2S2-1",2.0,,,,,
CUP Goggles/SUNGLASS PROTECTIVE,RECTANGLE SUNGLASS,protective glasses,,57.0,57.0,,100.0,,100.0,
DG1229_061_53,RIMLESS,Dolce & gabbana,53.0,L1D1S1-1,1.0,,,,,
DL5218V_068_53,RECTANGLE FULL SHEET FRAME,DIESEL,53.0,D11-1,1.0,,6925.0,,6925.0,
DISNEY,FRAME,DISNEY,,CT13-1,1.0,,1000.0,,1000.0,
DJ0301_GUN_52,RECTANGLE SUPRA METAL FRAME,David Jones,52.0,C4R2-1,1.0,,1600.0,,1600.0,
DJ0301_BLK_52,FRAME,David Jones,52.0,C4R2-1,1.0,,1600.0,,1600.0,
DJ084_C4_52,RECTANGLE FULL SHEET FRAME,David Jones,52.0,NA,0.0,,1800.0,,1800.0,
DJ15T128_C2_51,RECTANGLE FULL SHEET FRAME,David Jones,51.0,T60S1-1,1.0,,1800.0,,1800.0,
