product_code,lens_width,brands,location,type,comments,mrp,cost_price,sale_price_s,sale_price_a,stock
RB2132_622_58,,,A1,,,7090.0,,,,2
RB2132_710_58,,,A1,,,7690.0,,,,0
RB2140_1187_50,,,A1,,,7490.0,,,,0
RB2180_616587_49,,,A1,,,7490.0,,,,0
RB3025_00133_58,,,A1,,,8290.0,,,,1
RB3025_0013E_58,,,A1,,,8890.0,,,,0
RB3025_0013F_58,,,A1,,,8890.0,,,,1
RB3025_0014F_58,,,A1,,,8190.0,,,,0
RB3025_0013K_58,,,A1,,,8890.0,,,,0
RB3025_00151_58,,,A2,,,8890.0,,,,1
RB3025_00151_62,,,A2,,,8890.0,,,,0
RB3025_00158_55,,,A2,,,9890.0,,,,0
RB3025_00158_58,,,A2,,,8190.0,,,,0
RB3025_00232_55,,,A2,,,5990.0,,,,0
RB3025_0023F_58,,,A2,,,5990.0,,,,-2
RB3025_00251_58,,,A2,,,6990.0,,,,3
RB3025_003_58,,,A1,,,5990.0,,,,-1
RB3025_0033F_55,,,A2,,,6990.0,,,,-1
RB3025_0033F_58,,,A2,,,9490.0,,,,2
RB3025_00332_58,,,A2,,,8890.0,,,,3
RB3025_004_58,,,A2,,,5990.0,,,,0
RB3025_00478_58,,,A3,,,10690.0,,,,3
RB3025_00478_62,,,A3,,,10390.0,,,,0
RB3025_02930_58,,,A2,,,9490.0,,,,3
RB3025_11217_55,,,A4,,,6990.0,,,,0
RB3025_11217_62,,,A5,,,7590.0,,,,0
RB3025_11219_55,,,A3,,,7990.0,,,,0
RB3025_181_62,,,A3,,,7490.0,,,,-1
RB3025_11269_58,,,A4,,,7590.0,,,,0
RB3025_11293_58,,,A3,,,7990.0,,,,-1
RB3025_177_58,,,A3,,,7490.0,,,,1
RB3025_181_58,,,A3,,,7690.0,,,,0
RB3025_R1072_58,,,A3,,,4990.0,,,,0
RB3025_W3276_58,,,A3,,,7590.0,,,,1
RB3025_L9797_58,,,A4,,,6390.0,,,,0
RB3025_L2823_58,,,A4,,,5990.0,,,,0
RB3025_L2928_58,,,A4,,,5790.0,,,,1
RB3025_019Z2_58,,,A4,,,9490.0,,,,2
RB3029_L2112_62,,,A4,,,7690.0,,,,0
RB3029_9001A5_62,,,A4,,,8890.0,,,,0
RB3029_19771_62,,,A4,,,8190.0,,,,0
RB3387_00113_64,,,A4,,,7990.0,,,,0
RB3379_004_64,,,A4,,,6990.0,,,,0
RB3447_001_50,,,A4,,,5990.0,,,,0
RB3447_112Z2_50,,,A5,,,7990.0,,,,0
RB3471_00113_32,,,A4,,,6490.0,,,,0
RB3529_0299A_58,,,A5,,,7990.0,,,,0
RB3561_001_57,,,A4,,,8290.0,,,,2
RB4105_601S2K_50,,,A4,,,8490.0,,,,0
RB4147_71051_56,,,A4,,,7790.0,,,,1
RB4147_617187_60,,,A4,,,6990.0,,,,0
RB4147_613713_56,,,A5,,,7490.0,,,,0
RB4147_60132_60,,,A5,,,7790.0,,,,0
RB4194_60171_53,,,A6,,,4490.0,,,,0
RB4187_60155_54,,,A5,,,6990.0,,,,0
RB4175_87730_57,,,A5,,,8490.0,,,,0
RB4205_6018G_56,,,A6,,,5290.0,,,,0
RB4226_618871_56,,,A6,,,6990.0,,,,0
RB4227_60528G_55,,,A7,,,7490.0,,,,0
RB4227_619388_55,,,A5,,,7490.0,,,,0
RB4228_618588_58,,,A6,,,7990.0,,,,0
RB4251_71013_56,,,A5,,,4490.0,,,,-1
RB4251_623311_56,,,A6,,,5290.0,,,,0
RB4232_619671_57,,,A5,,,6490.0,,,,0
RB4251_6018G_56,,,A5,,,4490.0,,,,0
RB4211_601S71_56,,,A6,,,10490.0,,,,0
RB4251_6019A_56,,,A5,,,5290.0,,,,0
RB4251_71071_56,,,A6,,,4490.0,,,,-1
RB4252_71013_51,,,A6,,,5290.0,,,,0
RX6325_2841_53,,,A5,,,4290.0,,,,3
RB4252_623419_51,,,A6,,,4490.0,,,,0
RB4265_6015J_62,,,A6,,,8990.0,,,,0
